1437 3 5127 3 1359 3 9471 3 8002 3 1844 3 11413 3 5799 550 367 6 1023 83 0 1262 722 413	1
1 10421 1172 0 1476 407 1268 94 2	0
4715 16428 30 0 10 386 5	0
25 4 738 154 14 797 552 423 18 0 2	1
1591 1224 54 14 112 267 658 0 18	1
15263 290 3 2131 2344 9 9 23 364 1706 689 22 335 2432 6 0 1177	1
5326 13309 2254 0 25 29 1328 16 1570 4 6795 1805 5203 449 53 2	1
23 112 1205 4 913 476 0 316 15	1
51 13 1695 0 392 2391 13 24 12 260	0
1 2612 13802 2973 0 209 147 5	0
51 1924 211 0 2533 25	0
11994 11 0 1904 78 4 2868 6492 3874	0
2406 89 1209 17 1936 15	1
2297 797 748 6 394 59 0 1395	1
1 3435 2962 0 3392 31 99 7	0
16037 994 737 2284 0 150 4 189	1
1 24 0 4858 392 72 11 15057	0
408 638 2685 34 498 8 1906 3882 498 0 49	0
4587 8 2597 1344 71 3575 1229 254 249 0 1690	1
190 32 21 76 272 231 5	0
14485 8 7490 13117 8 9860 659 0 153	1
4295 9158 2222 1274 669 73 4 765 64	1
76 1242 168 28 729	0
857 2397 140 55 12	0
120 218 33 32 30 0 200 925 5	0
10326 14 713 1719 4 203 11340 0 1064 17 2603	1
381 16 1794 0 183	1
22 8053 4 13982 530 9 9 1111 16377 844 4 2886 844 2449 0 10939	1
6349 1474 702 4894 644 0 2	1
188 1150 736 614 16829 361 0 2	1
21 4602 6 0 3567 5474 28	0
650 12 34 621 156 190 0 4102 708 754 651 176	0
152 420 15753 4 252 343 1048 0 44	1
23 252 48 36 10053 47 1123 34 8815 267 378 63 93	1
904 12960 252 234 0 356 1361	1
5817 1053 2 6 110 766 2271 0 19	1
7487 7 332 1026 9663 0 17182	1
1 4771 113 363 0 1782 3569 7	0
825 277 1182 22 71 723 599 94 6 0 19	1
27 118 35 508 4 563	0
1102 1470 304 265 376 54 14 4126 0 18	1
582 16434 10242 2570 5222 1608 2107 63 9 9 518 2452 12 0 832 16 19	1
377 23 8580 2327 401 17 3807 2	1
26 38 0 76 1109 12377 11 13	0
4413 180 2074 0 409 2853 13 0 4006	1
1 6962 5253 0 7591 7941 12	0
1 427 86 0 60 398 11 251	0
33 213 14284 7 10 77 272 716 7	0
3037 2185 2706 11905 67 98 5	0
6331 22 8417 3357 2671 6643 0 977	1
65 377 313 7 66 751	1
5515 660 0 564 3649	0
180 88 128 0 409 889 420 1655 0 260	1
1 1014 229 1647 0 2053 1630 33 32 2	1
19 384 9074 2121 0 12707 2675 466 1254 3199 10541 4060	1
6830 17093 8322 13209 0 2 8 19	0
4307 210 1030 445 5 90	1
8316 9733 4562 14830 6205 14 3694 11883 71 254 3808 0 18	1
10 14393 317 142 395 3369 614 0 36 73	1
383 16529 25 15435 461 0 491 890 1024 1160 2211 0 342	1
10 1918 137 0 8393 876 30 4 1425 30	0
129 9922 8 24 208 37 4298 59 0 67 232	0
65 222 1363 66 4550 0 1601	1
111 85 830 168 0 855 96	0
582 6526 187 1139 2451 143 328 212 163 2017 871 24	1
82 773 181 7458 0 942 20 2442	0
1 537 0 173 1116 796 31 0 543	0
2350 128 1299 2299	1
